,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
3PEPTabcpp,0,,4.85810895,0,3.383700114,2.505942655,0,2.181774629,,1.725908946,4.486465042,2.34305604,3.369515273,1.664194021
3PGt6,996.9803305,,,,,,,,,,0,,,
3SALATAi,0,,,,0,0,,,,,0,,0,
4HPRO_LT_Et,0,,,,0,29.02460467,,,,,0,,-3.89E-16,-5.29E-14
4PEPTabcpp,2.12739675,,,0.981851294,-5.25E-16,,1.510886352,0,3.209126362,0,0,,,0
4PEPTtex,2.12739675,,,0.981851294,0,,1.510886352,,3.209126362,,,0,,0
ACALD,18.43346736,,,,,,,-1000,,,989.1864079,,86.59891801,
ACALDt,18.43346736,0,-3.605275523,-280.6480158,23.68112978,7.25E-15,-9.771589489,-1000,-31.42540199,7.303390815,962.9428665,160.682991,86.59891801,0
ACCOAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACHBS,6.180704505,8.862731807,889.6443311,0,9.830630103,3.00E-19,0,-3.02E-09,9.323442729,0,0,0,9.789419026,4.834966247
ACLS,0,0.024404398,0,0,0,486.2445675,0,0,28.03791239,0,0,0,29.43921907,1.12818625
ACONT,0,0,-781.5971385,280.8394768,-17.68071286,0.011051207,0,0,16.89027387,320.6114944,979.9583774,385.1862391,2.543950336,0
ACONTa,0,0,,,0,0,0,0,,0,0,,0,
ACONTb,0,0,,,0,0,0,0,,0,0,,0,
ACt2r_1,-1000,-1000,,,-1000,,,,,,,,-1000,
ADK1,14.59614356,-82.08050736,,,,,,-10.02329082,-18.40379414,-274.1857509,,,,
ADK4,0,0,,4.382787808,,5.107637379,,0,,,,4.885271843,,
ADNK1,9.486785425,0.00305055,0,0.000981851,,,0,0,0,,,4.76807218,,
ADNt2,9.484658028,,,,,0,,,,,,,,
AGM3PApp,0,,0,,0,0,0,0,,0,,,,
AGM4PApp,0,,,,0,0,,0,,0,0,,,
AGMDA,0,,0,,,0,,,,,,,0,
AGMT,0,0,,0,,0,,0,0,,,,,
AHCi,0.002127397,0.00305055,0,0.000981851,,0.002505943,,-0.004865357,,0.001725909,0.26005346,-0.01045003,0.003369515,0.001664194
AICART,0.002372047,6.214610543,0,0,0,0,6.74278361,0,,0,0,0,0,
AKGDH,1.829454836,,0.009716218,283.0935619,0,0,979.4886828,0,,,0,396.3850043,,
ALAALAr,2.12739675,,,,,,1.510886352,,1.604563181,1.725908946,4.486465042,,3.369515273,1.664194021
ALAALAtex,0,3.050549793,4.85810895,0.981851294,3.383700114,2.505942655,,2.181774629,1.604563181,,,2.34305604,0,0
ALAGLUE,0,,0,,3.383700114,,,2.181774629,,0,4.486465042,,,
ALAR,2.12739675,,0,277.523166,2.09E-14,0,,0,,3.440271561,8.972930084,,6.739030545,
ALAS,0,-8.38457334,0,,26.68990464,,-10.69205167,,,299.4119995,1.022267979,,0,
ALMPC,0,,,,,,,,,,0,,,
AMMQT8,0.002127397,,,,,,,0.002181775,,,,,,0.001664194
AMPTASECG,13.02636941,2.7936935,0,0,1.27E-11,0,0,0,2.938917922,1.58443619,0,23.53073776,0,0
ANHGMtex,0,,0,,0,0,,0,,,0,,,
ANTDR,0.556654634,,,,,,,,,,,,,
APRAUR,0,,0,0.004379057,,0.011176504,0.006738553,,,0,0.020009634,0.01045003,0.015028038,
ARGDC,0,0,0,0,,,,,0,,,,0,
ARGN,1.01E-12,,,,,,,,,,,,,
ARGN_1,4.702716887,,,,0,0,,,,,,0,,
ARGSL,0,9.023282243,14.36989763,0,10.00871424,0,0,0,9.492339049,0,0,,0,0
ARGSS,0,9.023282243,14.36989763,,10.00871424,0,0,0,9.492339049,0,0,,0,0
ARGt5r,10.99538628,,,2.904237581,,,,,,,13.27060468,,,
ASNt4,5.128196237,,,,,,,,,,,,,
ASPA2,0,,,,0,0,,,,,0,,0,
ASPTA,-18.18379608,-28.80600613,,3.958716415,-18.16529255,-6.040700067,,,16.89027387,443.0130623,-20.05692143,-7.962559638,-0.003369515,-11.35507396
ASPTA6,-13.05559984,,26.08061215,-282.5668281,,,,,,-19.60561801,,-2.314505902,,
ATPHs,5.148332047,,0,,,,,5.282360008,,0,,,8.096304992,
ATPPRT,0.002372047,,0,0,0,0,0,0,,0,0,0,0,
BSCT,-0.002127397,,-0.004858109,-0.000981851,-0.0033837,-0.002505943,-0.001510886,-0.002181775,-0.003209126,-0.001725909,-0.004486465,-0.002343056,-0.003369515,-0.001664194
BZt,0.002127397,,1000,0.000981851,0.0033837,0.002505943,0.001510886,0.002181775,0.003209126,,0.004486465,0.002343056,0.003369515,0.001664194
CA2abc,0.110731001,,,,,,0.078641635,,,,,,,0.086621299
CAT,280.5509964,0,461.3409884,,,0,0,0.094645383,,,,0,,
CBPAH,0,,0,,,0,,,,,,,0,
CBPS,0,9.023282243,0,0,0,0,0,0,0,0,0,0,0,0
CDDTPP,0,,,,,3.34563392,,,,0,-0.03589172,,,
CGLYtex,4.62E-29,,,,,0,0,,,,,,,0
CHORM,6.874916613,,6.709971501,,,4.64263466,,3.008579943,,0,,3.236205571,4.653940799,
CHORS,0,0,,0,0,0,0,0,,0,0,,4.653940799,0
CHORt2,6.874916613,0.00305055,6.709971501,0.558113731,,4.659399416,0,14.23357041,,,0,3.236205571,,0
CO2t,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-827.4447388,-1000,-1000,-1000,-1000,-36.26277643
CO2tex,0,0,1.47E-13,1.47E-13,0,1.47E-13,0,0,0,0,1.47E-13,1.47E-13,1.47E-13,0
CO2tpp,0,0,1.47E-13,1.47E-13,0,1.47E-13,0,0,0,0,1.47E-13,1.47E-13,1.47E-13,0
COAt,0.012253805,0.017571167,-0.224881863,0.005655463,0.019490113,0.01443423,0.008702705,0.012567022,0.018484568,0.009941236,0.025842039,0.013496003,0.019408408,
COBALTt5,-0.002127397,,-0.004858109,,,,-0.001510886,-0.002181775,-0.003209126,,-0.004486465,-0.002343056,2.014397315,-0.001664194
CS,0,,19.16157575,280.8394768,0,0,0,0,16.89027387,320.4617718,979.9430786,385.1862391,0,
CTPS1,3.415003634,,7.798479392,1.583971601,0,0,2.221252233,3.502293723,,0,7.237789729,3.779935156,5.435870513,2.451870127
CTPS2,0,,0,0,0,0,0,0,,0,0,0,0,0
CYANST,6.513184706,,,0,,,,,,,,,,
CYANt2pp,17.59128417,,,0,,,,,,,,,,
CYANtex,17.59128417,,,0,,,,,,,,,,
CYOO2pp,2.647965417,,,,,,,,0.129584523,317.1538477,,643.4973532,,
CYSTA,11.07809947,,,,0,0,,,,,0,,0,
CYTBD,419.9019444,,,,,,,,,,,,448.9091519,
CYTMQOR3pp,2.647965417,,0,,,,,,0.129584523,317.1538477,,643.4973532,93.53299295,
Clt,0.110731001,,0.252864571,0.05110536,0.176121591,0.130434315,0.078641635,0.113561369,0.167035027,,0.233520505,0.121956067,0.17538327,0.086621299
Cuabc,0.015083243,0.021628398,,0.006961326,0,,,0.015468782,0.022752706,,0.031809037,0.016612267,0.023889863,0.011799136
DALAt2pp,0,,,,,,,,,,,,0,
DB4PS,0,,0,0.008758114,,0.022353008,0.013477106,,,0,0.040019268,0.02090006,0.030056076,
DDPGA,0,,,,0,29.02460467,,,,,0,,0,0
DHAD1,0,0.024404398,0,4.154821574,29.56315103,486.2445675,6.807011389,,28.03791239,7.303390815,9.243329332,219.1973493,29.43921907,1.12818625
DHAD2,6.180704505,8.862731807,889.6443311,0,9.830630103,0,0,412.6054011,9.323442729,0,0,0,9.789419026,4.834966247
DHAPtr,-987.6796285,,0,,85.15195818,,,,59.56234802,,,6.569085635,,5.912848073
DHNAOT_1,0.002127397,,,,,0.002505943,0.001510886,,,0.001725909,,,0.003369515,
DHPPDA2,0,,0,0,,0,0,,,0,0,0,0,
DHQTi,0,0,0,0,0,0,0,0,,0,0,0,0,
DMATT,0.002127397,0.00305055,0.004858109,0.000981851,0.0033837,0.002505943,0.001510886,0.002181775,0.003209126,39.15413479,0.004486465,0.002343056,0.003369515,0.001664194
DPMVD,0.017019174,0.024404398,,,,,0.012087091,0,0.025673011,,,0,,0.008083228
DTMPK,0.556654634,0.798206859,1.271172788,0.25691121,0.885378972,0.655704955,0.395338523,0.570883149,0.839700004,0.451601335,1.173928443,0.613084043,0.881667366,0.435453008
DTMPt6,0.556654634,,1.271172788,,,,0.395338523,0.570883149,0.814026993,,,0.613084043,0.881667366,0.435453008
DUTCP,0,,,,-6.767400227,,,,,,,,,
ECOAH1_1,0,,,1.490754639,0,,0,,,0,,-198.7262327,0,
EHGLAT,0,,,,0,29.02460467,,,,,0,,0,0
ENO,996.9803305,318.1151108,983.96569,0,954.6061065,0,,,59.55519167,-140.4309996,23.59772937,16.72775655,,
FADMQOR,0,245.5357443,,0.000981851,,0,0,0,,,,643.4996963,,
FBA,493.8433723,0.003401363,,3.86E-15,,-5.72E-13,,,,0,0,-3.269945578,,
FE2t,0.30896183,,,,3.827652848,,,,322.0733533,,,,0.226262951,0.241690898
FE3DCITCH,0,,0,,0,,,0,,0,0.429049625,,-0.263091752,0
FE3DCITR5,0,,,,,,,,,,,,,
FE3PYOVDL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEROc,0.041526785,,,,51.39766877,,,,80.46446512,,,,,0.032485067
FMNAT,0.004744095,0.006802726,0.010833583,0.002189528,0.007545651,0.005588252,0.003369277,0.004865357,0.007156352,0.003848777,0.010004817,0.005225015,0.007514019,
FORt2,0.007116142,,,,,,,,,,,,,0
FTHFLi,0.007116142,12.43602381,0,0,0.015091303,0.005588252,,0.004865357,0.007156352,,,0,0,0.003711153
FUM,0,21.45250333,14.37475573,,,0,0,0,,0,,390.8342928,0.003369515,
FUMtr,0,,,,,-2.797559202,,,-9.489129923,,,,,
G1PACT,2.12739675,,9.7162179,0.981851294,0,,3.021772703,2.181774629,,3.451817892,,2.34305604,6.739030545,0
G1SAT,0,8.38457334,,0,0,,10.69205167,,,0,0,,0,0
G5SADs,4.702716887,,,,,,0,,,0,,,,3.678784093
G5SD,0,,0,0,0,,0,,,0,,0,,
GAM6Pt,2.12739675,0,,0.981851294,0,,,,0,3.451817892,0,,6.739030545,
GCCa,0,,0,0,0,0,0,0,,0,0,0,0,
GCCb,0,,0,0,0,0,0,0,,0,0,0,0,
GCCc,0,,0,0,0,0,0,0,,0,0,0,0,
GCDH,0,0,,0,0,0,,0,,,,,0,
GGLUCT2,13.02636941,0,0,,0,0,0,0,,0,0,0,0,
GHMT2r,0.006871492,0.808060135,5.44625591,281.5167676,20.07973368,-6.832076758,-4.119205005,-6.002898352,-2.711647593,149.4239689,,-5.056127489,-2.633225643,0.005375347
GK1,5.150704094,,11.79461407,2.381568681,8.192377856,6.095154201,3.664790826,,,,10.88232474,,,
GLCOAS,0,,,,0,0,,0,,,0,,0,0
GLNS,5.605573431,29.48713289,22.50081741,,8.927182173,6.600226943,0,0,0,0,0,8.524717358,8.882244429,4.383204138
GLU5K,0,,0,0,0,,0,,,0,0,0,,
GLUABUTt7,0,,,,,-32.64185772,,,,0,,,,
GLUDC,0,,0,,,0,,,0,,,,,
GLUDy_1,-7.45081355,,,,,,975.1729795,,,,-14.2140993,,,
GLUN,0,0,,0,0,0,,,0,0,,0,0,0
GLUSx,0,0,0,0,0,,0,0,,0,0,0,0,
GLUTARt2rpp,0,,,,,,,,,,,,,0
GLUTARtex,0,,,,,,,,,,,,,0
GLU_Dt2,0,3.050549793,,,,,,,,,,,,
GLUt2rpp,-5.70E-29,0,,,0,0,974.4516672,0,,0,0,,0,
GLYCL,0,,0,0,0,6.840170952,17.61639094,5.913118326,2.75878966,0,0.290067911,5.071802534,2.644109177,
GLYCLTDx,561.1019929,0,,147.0822366,481.598827,0,0,,,0,500.0775699,4.691184796,158.772084,0
GLYCLTt,0,,,-283.0567327,,,,,,,,-4.691184796,,0
GLYCTO1,561.1019929,0,0,,0,0,0,0,,0,500.0775699,,65.23572156,
GMPS,5.150704094,0,0,2.381568681,0.007545651,0,,5.282360008,0,0,20.02219619,,8.17306255,4.02923007
GMPS2,0,,,0,0,0,3.664790826,0,0,0,0,,0,0
GRTT,0.002127397,0.00305055,0.004858109,0.000981851,0.0033837,0.002505943,0.001510886,0.002181775,0.003209126,39.15413479,0.004486465,0.002343056,0.003369515,0.001664194
GSEALD,0,,0,,0,0,,,0,,,,,
GTHOXti,6.513184706,,,,,,,,,0.792218095,,,0,
GTHRDHpp,0,0.158781037,0,0,0,0,,0,,0,0,0,0,
GTHRDabc2pp,-5.70E-29,,,,,0,,,,0,0,,,
GTHRDabcpp,0,0,0,0,0,,0,0,,,,23.53073776,,
GTMLT,13.02636941,0,0,,0,0,0,0,,0,0,0,0,
GTPCII2,0,,0,0,,0,0,,,0,0,0,0,
GUAt,0,,,,0,,,,,,,,,
GUAt2r,0,,,,0,,,,,,,,,
H2Ot,-867.2069907,-754.6260873,1000,0,0,0,-73.03555501,1000,-110.1097446,-1000,-153.3767482,-402.8254802,809.2534841,-121.3104877
H2Otex,0,-245.3739127,99.66102735,0,-642.7585587,-176.2510286,-0.005356092,0,0,-173.4997047,0,0,0,0
H2Otpp,0,0,99.66102735,0.038331475,320.4323279,814.6307357,0,593.5673904,-193.7466458,-175.8039312,0,0,-7.77E-16,-3.596572909
H2SO,0.092286471,0.13233285,0.210744766,157.9749635,0.146784911,0,0.06554225,,,0.07486993,0.194622854,,0.146169573,0.072192737
H2St1,-6.605471177,-0.13233285,677.8158934,6.52480441,-3.253123126,2.294942284,0,-1.995887431,208.8719152,-0.07486993,0,21.40082953,0,-0.072192737
HACD1_1,0,,,1.490754639,0,,0,,,0,,-198.7262327,0,
HCO3E,5.128196237,9.047686641,30.86743217,0,0,0,0,0,0,0,0,0,0,0
HEX7_1,246.9240582,,,,,,,,,0,,0,0,
HISTD,0.002372047,,,,,0,,0,,0,0,0,,
HISTP,0.002372047,,0,,0,0,0,0,,,0,0,0,
HISabcpp,2.013081086,2.890029863,,,,,0,0,,0,,2.219764431,,1.576624132
HIStex,2.013081086,2.890029863,,,,,0,0,,0,,2.219764431,,1.576624132
HMBS_1,0,,,,,,,,,,0.127783497,,,0
HMGCOAR,-0.017019174,-0.024404398,,,,,-0.012087091,0,-0.025673011,,,0,,-0.008083228
HMGCOAS,0,0,,0,,,-0.012087091,,-0.025673011,,,,,-0.008083228
HMR_9638,0,,,,,0,,,,,0,0,-0.006739031,
HPROb,0,,0,,0,-29.02460467,,,,0,0,,,0
HSTPTr,0.002372047,,,,0,,0,0,,,,,,
ICL,0,,,,0,,,0,,,,,,
ID6P,493.8433723,63.7913174,,,,,,0,,,,,,
IG3PS,0.002372047,,0,0,0,0,0,0,,0,0,,,
IGPDH,0.002372047,,,,0,0,0,0,,0,0,,,
IGPDH_1,0,,0,0,,,,,,,,0,0,
ILEDHr_1,-6.180704505,,,,,,,,,,,,,
ILEt2r,0,,14.11421535,,,,,,,,,,,
IMPC,-0.002372047,-6.214610543,0,0,0,0,-6.74278361,0,,0,0,0,0,
IMPD,5.150704094,0,0,0.115504986,0,0,3.664790826,5.282360008,0,0,0,0,8.096304992,4.02923007
IPDDI,0.002127397,0.00305055,,,0,-0.017541599,0.001510886,,0.003209126,,,,,0.001664194
IPMD,0,0.024404398,0,0,15.24461796,0,6.807011389,0,14.45810909,1.70E-11,9.243329332,10.55619381,15.18071085,
IPPMIa,0,-0.024404398,0,0,-15.24461796,0,-6.807011389,0,-14.45810909,-1.70E-11,-9.243329332,-10.55619381,-15.18071085,
IPPMIb,0,-0.024404398,0,0,-15.24461796,0,-6.807011389,0,-14.45810909,-1.70E-11,-9.243329332,-10.55619381,-15.18071085,
IPPS,0,0.024404398,0,0,15.24461796,0,6.807011389,0,14.45810909,1.70E-11,9.243329332,10.55619381,15.18071085,
KARA1,0,-0.024404398,0,-4.154821574,-29.56315103,-486.2445675,-6.807011389,,-28.03791239,-7.303390815,-9.243329332,-219.1973493,-29.43921907,-1.12818625
KARA2,6.180704505,8.862731807,889.6443311,0,9.830630103,-1.07E-18,,412.6054011,,0,0,0.021087504,9.789419026,4.834966247
Kt1,4.152529539,,9.482688603,1.916504997,,,,,,,,,6.577057946,
LADGMDH,0,,0,,3.383700114,,,2.181774629,,0,4.486465042,,,
LALGP,0,,0,,3.383700114,,,2.181774629,1.02E-11,0,4.486465042,,0,
LEUt2r,9.584581854,,,,,,,,,,,,,
LYSt5r,7.300395963,,16.67113525,,,,,,,,15.3957983,8.040454536,,
MALS,0,,,,0,,,0,,0,0,0,,
MAN6PI,0,,505.7071607,0,0,0,0,,0,0,-4.189855866,0,0,
MAN6Pt6,0,,,,,,,,,,,,,
MBCOAi,0,0.024404398,,0,0,0,0,0,,,,0,0,
MCA,0,,0,,,0,2.49E-26,,,0,0,,0,
MCCC,0,0.024404398,,0,0,0,,0,,,,0,0,
MCD,0,0,,0,0,0,0,0,0,,,,0,0
MCITD,0,8.38457334,,,0,0,0,0,,0,0,,0,
MCPST,11.07809947,,,,,,,,,,,,,
MCTP1App,0,,0,,0,5.23E-31,0,0,,0,0,,0,
MDDEP2pp,0,,0,,,,0,,,,,,,
METAT,0.006871492,0.009853276,0.010833583,0.00317138,0.015091303,0.008094195,0.003369277,,0.007156352,0.005574686,0.270058277,,0.010883534,0.005375347
METS,0.002127397,0.00305055,5.435422327,0.000981851,0.0033837,0.002505943,0.001510886,,0,0.001725909,0.26005346,0,0.003369515,0.001664194
METabc,3.274255065,,,,,3.856871281,2.325390075,0,,0,,,,2.561344376
MEVK2,0.017019174,0.024404398,,,,,,,,,,0,,
MEVRt,0.017019174,,,,,,,,,,,,,
MGCH,0,0.024404398,,0,0,0,0,0,,,,0,0,
MGt5,-0.184551668,,-0.421440951,-0.0851756,,,-0.131069391,-0.189268949,-0.278391712,,-0.389200842,-0.203260111,,-0.144368831
MICITDr,0,8.38457334,,,0,0,0,0,,0,0,,0,
MLDCP1App,0,,0,,,,0,,,,,,,
MLTGY2pp,0,,0,,,0,0,0,,0,0,,0,
MMCD,1.827327439,8.38457334,,0,23.79843702,0,0,0,0,,,0,0,0
MME,0,8.38457334,,,0,0,,0,,,,0,0,0
MMM,1.827327439,,,,23.79843702,,,0,,,,,,
MMM2,0,8.38457334,,,0,0,,0,,,,0,0,0
MNt2,0.014700312,,0.033569533,0.006784592,,,,0.015076063,,,,,,
MPTG,0,,0,,0,-7.39E-17,0,0,,0,0,,0,
MTHFR2,0.002127397,0.00305055,,,0,,,,0,,0.26005346,,,
MVNOR,0.017019174,,,,,,,,,,,,,
NADDP,0,0,0,0,0,0,0,,,0,0,0,0,
NADDPp_1,-0.048462098,-0.069491524,0,,-0.077080689,,-0.034417991,,-0.073103899,0,0,0,-0.076757558,0
NADH17pp,2.647965417,,0,,,,319.826066,,,,,,0,
NADH6,419.9019444,,,0,453.9474549,,,,,365.5347908,,0,,183.9472539
NADK2,0,,,,,,,,,,,,,
NADK3,0,,,,,,,,55.47905564,,,,,
NADK4,0,,,,0.01512514,,,,,,,,,
NADKd,0.009509463,,0,0.004388875,,,-0.395338523,-0.570883149,-55.46471084,,-1.138036723,0,,-0.435453008
NDPK1,5.150704094,0,10.48209878,5.098390487,,,,0,,41.26630216,,,,
NDPK2,8.608064197,-0.798206859,24.51542661,3.980709884,,,,8.828092864,,5.93892172,,,17.03050735,
NDPK3,0.017019174,0,-1.020785853,-0.263077236,,,,-0.571995855,,133.582532,,,,
NDPK4,-989.1585734,0.811842816,1.271172788,0.261300085,0.885378972,4.001338875,,,,0.451601335,,0.613084043,,
NDPK5,0,0,1.312515295,0.265266764,,,,5.053993657,,0.46628882,,0.63302345,0,0.451279493
NDPK6,0,0.798206859,0,0,,,,0,,0,,0,,
NDPK7,0,0.824167037,1.312515295,0.265266764,0.929299399,0.677030527,0.408196166,0.589450052,,0.46628882,,0,,0.449615299
NDPK8,0,0,1.271172788,0.25691121,,,4.793838424,5.853243157,,3.723907438,,5.683293299,,4.464683078
