,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
NDPK9,493.8433723,,0,4.382787808,,,,0,,0,,,,
NH3c,-7.45081355,0,-55.73810419,0,11.64344744,0,975.1729795,11.22499047,0,20.6734784,0,0,1.93E-13,-5.247470019
NH4tex,7.068328888,66.01899193,0,0,0,-833.7399894,0,0,0,-294.9289742,-5.50E-16,0,0,-647.4989925
NH4tpp,7.068328888,66.01899193,0,-0.076662949,7.10E-12,-824.6217536,0,0,0,-294.9289742,-1.28E-25,2.52E-15,0,-647.4989925
NMNP,0.048462098,,,,0.077080689,,0.034417991,,,,,,,
NPHS,0.002127397,0.00305055,,0.000981851,0.0033837,0.002505943,0.001510886,0.002181775,0.003209126,,0.004486465,,0.003369515,0.001664194
NTP3,0,0,0,0,0,0,0,,,0,0,0,17.94657746,0
NTPP9_1,5.148332047,,,,,,,,,,,,,
O2tex,492.0520511,688.7042206,461.7624779,595.2413828,282.0087498,13.72699003,819.1708173,543.2970279,1000,438.0393918,996.8525519,578.4106441,289.9918354,499.7272989
O2tpp,492.0520511,688.7042206,461.7624779,595.222217,282.0087498,13.72699003,819.1681392,840.0807231,1000,438.0393918,996.8525519,578.4106441,289.9918354,499.7272989
OCBT_2,0,9.023282243,,,,,,,,,,,,
OCTDPS,0.002127397,0.00305055,0.004858109,0.000981851,0.0033837,,0.001510886,0.002181775,0.003209126,0.001725909,0.004486465,0.002343056,0.003369515,
OIVD1r,0,0.024404398,0,0,0,0,0,0,,-7.775754834,9.243329332,0,0,
OMCDC,0,0.024404398,0,0,15.24461796,0,6.807011389,0,14.45810909,1.70E-11,9.243329332,10.55619381,15.18071085,
OPAH,13.02636941,0,0,,0,0,0,0,,0,0,0,0,
ORNTA_1,4.702716887,,,,,,,,,,,,,
ORNt,-1.01E-12,,,,,,,,,,9.917555299,,,337.5023781
P52O,0,,0,,0,,,2.181774629,,,,,,
P5CRx,4.702716887,,0,,,,0,,,0,,,,3.678784093
PAPPT3,2.12739675,3.050549793,4.85810895,0.981851294,3.383700114,2.505942655,1.510886352,2.181774629,3.209126362,1.725908946,4.486465042,2.34305604,3.369515273,1.664194021
PC2DHG,0,,,,,,,,,,,,0,0
PDH2,1.706172194,,,,0,,,,,,,,,0
PDHa,981.9877572,0,0,0,0,0,0,0,,,0,0,,
PDHbr,981.9877572,,0,0,,0,,-374.0813085,,,,0,,
PDHcr,981.9877572,,0,0,0,1.86E-15,,0,,,0,0,,
PEPC,5.128196237,,,,,,,,,,,,,
PGAMT,-2.12739675,,-9.7162179,-0.981851294,0,,-3.021772703,-2.181774629,,-3.451817892,,-2.34305604,-6.739030545,0
PGCM,246.9240582,,,,,,0,,,,,,,
PGI1c,246.9240582,,,,,,,,,0,,,,
PGM,-996.9803305,7.390902543,-983.96569,0,-954.6061065,0,,0,-59.55519167,140.4309996,,0,0,0
PHCD,0,,0,,0,,,0,,,0,,0,0
PHETA1,-3.94132159,-8.862731807,-2.76149487,0,-6.268812016,-4.64263466,,0,0,0,0,0,-24.97012988,0
PMDPHT,0,,0,0.004379057,,0.011176504,0.006738553,,,0,0.020009634,0.01045003,0.015028038,
PMEVK,0.017019174,0.024404398,,,,,0.012087091,0,0.025673011,,,0,,0.008083228
PPANA,5.128196237,,,,,0,10.28192913,0,,0,0,,0,
PPAP_Et,-1.827327439,,,-1.490754639,-87.46559697,0,,,-246.5413636,0,0,0,0,0
PPA_1pp,23.79560278,,,11.01200228,32.98190628,24.55234905,1.417997059,0,,0,34.77795539,,0,0
PPBNGS,0,,0,0,13.34495232,,,,,149.7059997,0.511133989,,0,0
PPCOAC,0,0,,0,,0,0,,0,,,,0,0
PPND,2.933595023,,,,,,,3.008579943,,0,,3.236205571,,
PPNDH,3.94132159,,,,,4.64263466,,,,0,,,,
PRAMPC_1,0.002372047,,,0,,,,,,,,,0,
PRATPP_1,0.002372047,,,,,,,0,,0,,0,,
PRMICI,0.002372047,,0,0,0,0,0,0,,0,0,0,0,
PRPPS,0.002372047,6.214610543,0.110667722,,0.015091303,,6.746152887,-4.583624865,0,10.21969368,34.09742145,0.058599832,10.34879226,0.03791034
PSCVT,0,0,0,0,,0,0,0,,0,0,0,4.653940799,0
PTA2,1.827327439,,,1.490754639,87.46559697,0,,,246.5413636,0,,0,940.463664,0
PTRCTA2,0,,,0,0,0,,0,,,0,0,0,
PYDAMK,0,,,,,,,,,,,,,
PYDAMtex,0,,,,,,,,,,,,,
PYDAMtpp,0,,,,,,,,,,,,,
PYDXS,0.004744095,0,,-0.019705755,0.007545651,-11.75131737,0,,,,0.010004817,-0.02090006,,0.003711153
PYK6,989.7247375,,,,,,,,,,,,0.881667366,
QUINDH,0,,,,,,,,,,,,,
QUIN_Et,0,,,,,,,,,,,0,,
RBFK,0.004744095,0.006802726,,0.002189528,0.007545651,0.005588252,0.003369277,,0.007156352,,,0.005225015,0.007514019,
RBFSa,0,,0,0.008758114,,0.022353008,0.013477106,,,0,0.040019268,0.02090006,0.030056076,
RBFSb,0,,0,0.004379057,,0.011176504,0.006738553,,,0,0.020009634,0.01045003,0.015028038,
RIBFLVt2,0.00948819,0.013605452,0.021667166,,0.015091303,,,0.009730715,0.014312704,0.007697554,,,,0.007422305
RNTR2_2,0.57475878,,,,,,,,,,,,,
RNTR3_2,0.57475878,,,,,,,,0.867009669,,,0.63302345,,
RPE,-0.004744095,,-0.077389676,,-0.015091303,11.72896436,-0.016846383,3.052506338,0,0,-0.050024085,,-0.007514019,0
SAMU3,0,,,,,,,,,,0,,,
SERt2r,4.597623487,,,,,,,,,,,,,
SHCHF,0,,,,,,,,,,0.127783497,,0,0
SHKK_1,0,0,0,,,,0,0,,,0,,4.653940799,0
SKDH_1,0,0,,,,,,,,,,,,
SUCBZT1,0.002127397,,0.004858109,0.000981851,-10.00871424,0.002505943,,0.002181775,0.003209126,,0.004486465,0.002343056,0.003369515,0.001664194
SUCOAACTr,-1000,,,,,,,,,,,,,
SUCOAS,-999.9978726,,,-283.0915982,,,-990.1792236,-702.8380322,,,-990.8556421,-396.3803182,,0.003328388
TALA,-0.002372047,0,-0.033278046,0.010947642,-0.007545651,5.86448218,-0.008423191,1.526253169,,,0,,,
TCYNTtex,-17.59128417,,,0,,,,,,,,,,
TCYNTtpp,-17.59128417,,,0,,,,,,,,,,
THD2pp,13.69402097,,,,416.8949684,,,,,,0,,186.9394943,
THFOR2,0.014232284,,,,,,,0.014596072,,,,,,
THMtrbc,0.004744095,0.006802726,0,0.002189528,0,0.005588252,,,0.007156352,,0,0,0,0
THRD_L,6.180704505,,,,21.90381874,0,,400.5640851,9.323442729,0,,,9.789419026,0
THRt2r,11.5776335,7.738848253,,,,,,,,,,,,
THYMt,0,,,0,17.37414963,,,,,,,-0.018744448,,-9.51E-16
THYMt3pp,0,,,,,,,,,,,,,
THYMtex,0,,,,,,,,,,,,,
TKT1,-0.002372047,0,-0.033278046,0.010947642,-0.007545651,5.86448218,-0.008423191,1.526253169,0,0,0,,0,
TKT2,-0.002372047,0,-0.044111629,-0.010947642,-0.007545651,5.86448218,-0.008423191,1.526253169,0,0,,,-0.007514019,
TMDPK,0.004744095,,,,,,,,0.007156352,,,,,
TPI,-493.8362562,,,-0.537121751,979.2616178,-5.838846386,0.015161745,-1.508798972,59.56234802,,-0.102201674,3.273014982,0,0.012652629
TREP,246.9240582,0,0,,0,,,,,,,,0,
TREt2,246.9240582,,,,,,,,,,,,,
TRPt2r,1.209276135,1.734024019,,,1.923396656,,,,,,,,,
TSULR3e,-6.513184706,,,,,,,,,0,,,0,
TYRTA,-2.933595023,0,-6.709971501,0,0,0,,-3.008579943,-4.425256888,0,-6.196660652,-3.236205571,0,0
TYRTAi,0,,,,0,0,,,,,0,,0,
UAAGDS,0,3.050549793,0,,3.383700114,,0,2.181774629,,0,4.486465042,,0,
UACCpts,2.12739675,3.050549793,,0.981851294,,,,2.181774629,3.209126362,,,2.34305604,,1.664194021
UAGDP,2.12739675,,9.7162179,0.981851294,6.767400227,5.01188531,3.021772703,,,3.451817892,,2.34305604,6.739030545,1.664194021
UAGHD,2.12739675,3.050549793,,0.981851294,,,,,3.209126362,,4.486465042,2.34305604,,
UAGPT3,2.12739675,3.050549793,4.85810895,0.981851294,3.383700114,2.505942655,1.510886352,2.181774629,3.209126362,1.725908946,4.486465042,2.34305604,3.369515273,1.664194021
UAMAGS,0,3.050549793,0,,3.383700114,,0,2.181774629,,0,4.486465042,,0,
UAMAS,0,3.050549793,0,,3.383700114,,0,2.181774629,,0,4.486465042,,0,
UDCPDP,0,,0,,0,-1.48E-16,0,0,,1.725908946,0,,0,
UDCPPtexi,2.12739675,3.050549793,4.85810895,0.981851294,3.383700114,2.505942655,1.510886352,2.181774629,3.209126362,,4.486465042,2.34305604,3.369515273,1.664194021
UGMDDS,2.12739675,3.050549793,4.85810895,0.981851294,3.383700114,2.505942655,1.510886352,2.181774629,3.209126362,1.725908946,4.486465042,2.34305604,3.369515273,1.664194021
UM4PCP,2.12739675,,,,,0,,,,,,,0,0
UM4PL,2.12739675,,,,,0,,,,,,,0,0
UMPK,6.480667447,,19.65731766,3.2557698,3.383700114,6.117106259,5.909386253,6.646318235,,4.664614109,18.18943036,7.156372631,13.66099207,4.850040279
UMPt6,4.353270696,,14.79920871,,,,,,,,,4.87929705,,
UPP3MT,0,,,,,,,,,,0.127783497,,0,0
UPP3S,0,,0,0,3.33623808,,,,,37.42649993,0.127783497,,0,0
URAt,0,-3.050549793,,,-5.882021256,,,99.74282685,-3.209126362,,,,,
URAt2,0,,,,,,,,,,,,,
UREA,4.702716887,0,,,0,,,,129.4187827,,,0,,0
VALt2r,9.002334637,,20.55767099,,,,,,,,,,,5.935761053
XYLI2,246.9240582,,-1.362148975,,,,,,,0,,0,0.007514019,
r0963,0.014232284,0.020408178,,0.006568585,0.022636954,,0.01010783,,,,0.030014451,,0.022542057,0.011133458
r2465_1,-0.007254423,,,-0.003348113,,,,,-0.010943121,,,,-0.011490047,-0.005674902
sink_sheme_c,0,,,,,,,,,,0.127783497,,0,0
EX_3pg_e,-996.9803305,,,,,,,,,,0,,,
EX_4abut_e,0,,,,0,-32.64185772,0,,,0,,,,
EX_4abutn_e,0,,,,,0,,,,,0,0,-0.006739031,
EX_4hpro_LT_e,0,,,,0,-29.02460467,,,,,0,,3.89E-16,5.29E-14
EX_LalaDgluMdapDala_e,-2.12739675,,,-0.981851294,0,,-1.510886352,,-3.209126362,,,0,,0
EX_ac_e,1000,1000,,,1000,0,0,,,0,,0,1000,
EX_acald_e,-18.43346736,0,3.605275523,280.6480158,-23.68112978,-7.25E-15,9.771589489,1000,31.42540199,-7.303390815,-962.9428665,-160.682991,-86.59891801,0
EX_adn_e,-9.484658028,,,,,0,,,0,-3.516038964,,,,
EX_alaala_e,0,-3.050549793,-4.85810895,-0.981851294,-3.383700114,-2.505942655,,-2.181774629,-1.604563181,0,,-2.34305604,0,0
EX_anhgm_e,0,,0,,0,0,,0,,,0,,,
EX_arg__L_e,-10.99538628,,,-2.904237581,,-7.412377898,-4.469080957,-6.453514811,,-5.10510059,-13.27060468,-6.930572321,-9.966756615,-4.922552779
EX_asn__L_e,-5.128196237,,,,,-6.040700067,,-5.259276832,-7.735759552,0,,0,,
EX_bz_e,-0.002127397,,-1000,-0.000981851,-0.0033837,-0.002505943,-0.001510886,-0.002181775,-0.003209126,-0.001725909,-0.004486465,-0.002343056,-0.003369515,-0.001664194
EX_ca2_e,-0.110731001,-0.158781117,-0.252864571,-0.05110536,-0.176121591,-0.130434315,-0.078641635,-0.113561369,-0.167035027,-0.089833561,-0.233520505,-0.121956067,-0.17538327,-0.086621299
EX_cgly_e,-4.62E-29,-2.634912463,-99.66102735,0,0,0,0,0,-2.938917922,0,0,0,0,1.40E-15
EX_chor_e,-6.874916613,-0.00305055,-6.709971501,-0.558113731,,-4.659399416,0,-14.23357041,,,0,-3.236205571,,0
EX_cl_e,-0.110731001,-0.158781117,-0.252864571,-0.05110536,-0.176121591,-0.130434315,-0.078641635,-0.113561369,-0.167035027,-0.089833561,-0.233520505,-0.121956067,-0.17538327,-0.086621299
EX_co2_e,1000,1000,1000,1000,1000,1000,1000,1000,827.4447388,1000,1000,1000,1000,36.26277643
EX_coa_e,-0.012253805,-0.017571167,0.224881863,-0.005655463,-0.019490113,-0.01443423,-0.008702705,-0.012567022,-0.018484568,-0.009941236,-0.025842039,-0.013496003,-0.019408408,
EX_cobalt2_e,-0.002127397,-0.00305055,-0.004858109,-0.000981851,-0.0033837,-0.002505943,-0.001510886,-0.002181775,-0.003209126,-0.001725909,-0.004486465,-0.002343056,-0.003369515,-0.001664194
EX_cu2_e,-0.015083243,-0.021628398,-0.034443992,-0.006961326,-0.023990434,-0.017767133,,-0.015468782,-0.022752706,-0.012236694,-0.031809037,-0.016612267,-0.023889863,-0.011799136
EX_cyan_e,-17.59128417,,,0,,,,,,,,,,
EX_dhap_e,987.6796285,,0,,-85.15195818,,,,-59.56234802,,,-6.569085635,,-5.912848073
EX_dtmp_e,-0.556654634,,-1.271172788,,,,-0.395338523,-0.570883149,-0.814026993,,,-0.613084043,-0.881667366,-0.435453008
EX_fe2_e,-0.30896183,0,,,-3.827652848,-0.168274049,,0,-322.0733533,-37.54239472,0,,-0.226262951,-0.241690898
EX_fe3_e,0,-0.238186928,-0.705543163,0,0,-0.195664003,-0.117970006,-0.170352963,321.6072919,-0.134758971,-0.779352815,-0.340282029,0,0
EX_fe3pyovd_kt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_fol_e,-0.014232284,-0.020408178,,-0.006568585,-0.022636954,,-0.01010783,-0.014596072,-0.021469055,,-0.030014451,-0.015675045,-0.022542057,-0.011133458
EX_for_e,-0.007116142,-12.43602381,329.9748475,,,0.044706017,,,0,0,,,0,0.003711153
EX_fum_e,0,,0,,,3.20E-14,,,9.489129923,,,5.548368417,0,
EX_gam6p_e,-2.12739675,0,,-0.981851294,0,,,,0,-3.451817892,0,,-6.739030545,
EX_glu__D_e,0,-3.050549793,,,,,,,,,,,,
EX_glu__L_e,0,,-99.66102735,0,0,32.64185772,-974.4516672,0,0,0,0,0,0,
EX_glutar_e,0,,,,,,,,,,,,,0
EX_glyclt_e,0,,,283.0567327,,,,,,,,4.691184796,,0
EX_gthox_e,-6.513184706,,,,,,,,,-0.792218095,,,0,
EX_gua_e,0,,,,0,-0.002505943,,,,0,,,0,
EX_h2o_e,867.2069907,1000,-1000,0,642.7585587,173.7450859,73.0409111,-1000,110.1097446,993.7744324,153.3767482,402.8254802,-809.2534841,121.3104877
EX_h2s_e,-6.605471177,-0.13233285,677.8158934,6.52480441,638.8741346,2.294942284,0,-1.995887431,208.8719152,-0.07486993,0,21.40082953,0,-0.072192737
EX_h_e,8.284051035,-513.0971546,-1000,-4.876285905,460.7670672,-444.0914546,-5.783808934,-418.2010459,-425.0567149,0,16.182482,134.2723445,-182.5153881,317.6728603
EX_his__L_e,-2.013081086,-2.890029863,,,-3.205649814,-2.374079953,0,0,,0,,-2.219764431,,-1.576624132
EX_ile__L_e,0,0,-14.11421535,-2.852562747,0,-7.280490136,-4.389563009,0,0,-5.014266002,-13.03448202,-6.786169777,,
EX_k_e,-4.152529539,-5.954459657,-9.482688603,-1.916504997,-6.604745763,-4.891424647,-2.949144396,-4.258671352,-6.26399002,-3.368853449,-8.75726571,-4.573481375,-6.577057946,-3.248390236
EX_leu__L_e,-9.584581854,-13.74367249,,-4.423544455,0,-11.2900485,0,0,,0,0,0,0,
EX_lys__L_e,-7.300395963,-10.46829717,-16.67113525,,-11.61153915,-8.599417875,-5.184772713,-7.486999635,-11.01247012,0,-15.3957983,-8.040454536,,-5.710864845
EX_man6p_e,0,,,,,,,,,,,,,
EX_met__L_e,-3.274255065,-4.69507068,,0,-5.207819008,-3.856871281,-2.325390075,0,0,0,-6.905073482,0,,-2.561344376
EX_mevR_e,-0.017019174,,,,,,,,,,,,,
EX_mg2_e,-0.184551668,-0.264635195,-0.421440951,-0.0851756,-0.293535985,-0.217390525,-0.131069391,-0.189268949,-0.278391712,-0.149722601,-0.389200842,-0.203260111,-0.29230545,-0.144368831
EX_mn2_e,-0.014700312,-0.021079299,-0.033569533,-0.006784592,-0.023381368,-0.017316064,-0.010440225,-0.015076063,-0.022175063,-0.011926031,-0.031001473,-0.016190517,-0.023283351,-0.011499581
EX_nh4_e,-7.068328888,-66.01899193,1000,283.7598953,0,833.7399894,999.1518111,971.1080749,1000,294.9289742,0,-6.277199429,0,647.4989925
EX_nmn_e,-0.048462098,-3.400051282,,-7.228349955,-0.077080689,-17.67847317,-0.034417991,-4.633325691,-0.073103899,,,,,
EX_o2_e,-492.0520511,-688.7042206,-461.7624779,-595.2413828,-282.0087498,-13.72699003,-819.1708173,-543.2970279,-1000,-438.0393918,-996.8525519,-578.4106441,-289.9918354,-499.7272989
EX_orn_e,1.01E-12,-9.023282243,,,0,7.412377898,0,0,,0,-9.917555299,,9.966756615,-337.5023781
EX_ppap_e,1.827327439,,,1.490754639,87.46559697,0,,,246.5413636,0,0,0,0,0
EX_pydam_e,0,,,,,,,,,,,,,
EX_pyovd_kt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_quin_e,0,,,,,,,,,,,0,,
EX_ribflv_e,-0.00948819,-0.013605452,-0.021667166,,-0.015091303,,,-0.009730715,-0.014312704,-0.007697554,,,,-0.007422305
EX_ser__L_e,-4.597623487,,,0,0,0,0,0,,0,,0,,
EX_tcynt_e,17.59128417,,,0,,,,,,,,,,
EX_thm_e,-0.004744095,-0.006802726,0,-0.002189528,0,-0.005588252,,-0.004865357,-0.007156352,,0,0,0,0
EX_thr__L_e,-11.5776335,-7.738848253,,-2.490829093,0,-6.357250743,-3.832922259,-404.5950301,,-4.378406628,-11.38157857,-5.944028575,,
EX_thym_e,0,,,0,-17.37414963,,,0,-246.5413636,,,0.018744448,,9.51E-16
EX_tre_e,-246.9240582,0,,,1.21E-12,0,0,0,,0,-23.7558324,,0,
EX_trp__L_e,-1.209276135,-1.734024019,,,-1.923396656,0,,0,,0,,,,-0.945977807
EX_uaccg_e,-2.12739675,-3.050549793,,-0.981851294,,,,-2.181774629,-3.209126362,,,-2.34305604,,-1.664194021
EX_udcpp_e,-2.12739675,-3.050549793,-4.85810895,-0.981851294,-3.383700114,0,-1.510886352,-2.181774629,-3.209126362,,-4.486465042,-2.34305604,-3.369515273,-1.664194021
EX_ump_e,-4.353270696,,-14.79920871,,,,,,0,0,,-4.87929705,,
EX_ura_e,0,3.050549793,,-2.266063695,5.882021256,,,-99.74282685,3.209126362,,,,,
EX_val__L_e,-9.002334637,-12.90876751,-20.55767099,0,0,0,-6.393496903,-9.232441156,0,0,-18.9850152,0,,-5.935761053
EX_zn2_e,-0.007254423,-0.010402375,-0.016566152,-0.003348113,-0.011538417,-0.008545264,-0.005152122,-0.007439851,-0.010943121,-0.00588535,-0.015298846,-0.007989821,-0.011490047,-0.005674902
Growth,21.2739675,30.50549793,48.5810895,9.818512944,33.83700114,25.05942655,15.10886352,21.81774629,32.09126362,17.25908946,44.86465042,23.4305604,33.69515273,16.64194021
ATPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
